Species,Title,Institution,Study Title,Size (Mb),Library Name,Library Strategy,Library Source,Accession,Link
Apotolamprus quadrinotatus,ApquaSTL5006,University of Helsinki,Historical DNA of Dung Beatles (Coleoptera:Scarabaeidae:Scarabaeinae),302.88,S3987,Targeted-Capture,GENOMIC,SRX22207633,https://www.ncbi.nlm.nih.gov/sra/SRX22207633[accn]
Apotolamprus sp.,ApospSTL31,University of Helsinki,Historical DNA of Dung Beatles (Coleoptera:Scarabaeidae:Scarabaeinae),290.66,S695,Targeted-Capture,GENOMIC,SRX22207632,https://www.ncbi.nlm.nih.gov/sra/SRX22207632[accn]
Arachnodes sp.,Arac4STL5016,University of Helsinki,Historical DNA of Dung Beatles (Coleoptera:Scarabaeidae:Scarabaeinae),159.37,S3906,Targeted-Capture,GENOMIC,SRX22207635,https://www.ncbi.nlm.nih.gov/sra/SRX22207635[accn]
Arachnodes sp.,Arac1STL45,University of Helsinki,Historical DNA of Dung Beatles (Coleoptera:Scarabaeidae:Scarabaeinae),79.98,S700,Targeted-Capture,GENOMIC,SRX22207634,https://www.ncbi.nlm.nih.gov/sra/SRX22207634[accn]
Canthon chalcites,Canthon chalcites raw ccs long reads,University of Tennessee,Canthon chalcites isolate:Not applicable Genome sequencing,5627.65,cc_genome_ccs_reads,WGS,GENOMIC,SRX33635119,https://www.ncbi.nlm.nih.gov/sra/SRX33635119[accn]
Catharsius molossus,Hi-C sequencing of an adult male Catharsius molossus,Ningxia University,"Illumina, PacBio HiFi, and Hi-C sequencing of a sexually mature adult male Catharsius molossus collected from Hunan, China.",41351.49,Cm_HiC,Hi-C,GENOMIC,SRX28860564,https://www.ncbi.nlm.nih.gov/sra/SRX28860564[accn]
Catharsius molossus,PacBio HiFi long-read sequencing of an adult male Catharsius molossus,Ningxia University,"Illumina, PacBio HiFi, and Hi-C sequencing of a sexually mature adult male Catharsius molossus collected from Hunan, China.",41346.32,Cm_HiFi,WGS,GENOMIC,SRX28860563,https://www.ncbi.nlm.nih.gov/sra/SRX28860563[accn]
Catharsius molossus,Illumina short-read sequencing of an adult male Catharsius molossus,Ningxia University,"Illumina, PacBio HiFi, and Hi-C sequencing of a sexually mature adult male Catharsius molossus collected from Hunan, China.",30905.81,Cm_Illumina,WGS,GENOMIC,SRX28860562,https://www.ncbi.nlm.nih.gov/sra/SRX28860562[accn]
Catharsius molossus,mRNA Transcriptomes from adult male Catharsius molossus,National University of Singapore,Catharsius molossus Reproductive Transcriptomes,4605.72,C138_Testes,RNA-Seq,TRANSCRIPTOMIC,SRX10301363,https://www.ncbi.nlm.nih.gov/sra/SRX10301363[accn]
Catharsius molossus,mRNA Transcriptomes from adult male Catharsius molossus,National University of Singapore,Catharsius molossus Reproductive Transcriptomes,4140.09,C138_AccessoryGlands,RNA-Seq,TRANSCRIPTOMIC,SRX10301362,https://www.ncbi.nlm.nih.gov/sra/SRX10301362[accn]
Catharsius molossus,mRNA Transcriptome of adult male Catharsius molossus,National University of Singapore,Catharsius molossus Reproductive Transcriptomes,3485.4,C126_Testes,RNA-Seq,TRANSCRIPTOMIC,SRX10301245,https://www.ncbi.nlm.nih.gov/sra/SRX10301245[accn]
Catharsius molossus,mRNA Transcriptome of adult male Catharsius molossus,National University of Singapore,Catharsius molossus Reproductive Transcriptomes,4545.33,C126_AccessoryGlands,RNA-Seq,TRANSCRIPTOMIC,SRX10301244,https://www.ncbi.nlm.nih.gov/sra/SRX10301244[accn]
Catharsius sp.,Cath1STL10033,University of Helsinki,Historical DNA of Dung Beatles (Coleoptera:Scarabaeidae:Scarabaeinae),156.14,S3916,Targeted-Capture,GENOMIC,SRX22207638,https://www.ncbi.nlm.nih.gov/sra/SRX22207638[accn]
Copris (Paracopris) sp.,Copr2STL10022,University of Helsinki,Historical DNA of Dung Beatles (Coleoptera:Scarabaeidae:Scarabaeinae),159.65,S3975,Targeted-Capture,GENOMIC,SRX22207640,https://www.ncbi.nlm.nih.gov/sra/SRX22207640[accn]
Copris lunaris,Raw reads from transcriptome sequencing of Copris luniaris,Zoological Research Museum Alexander Koenig,Transcriptome-based phylogeny of Scarabaeoidea,1447.07,ZFMK-DA-RNAL70,RNA-Seq,TRANSCRIPTOMIC,SRX19356007,https://www.ncbi.nlm.nih.gov/sra/SRX19356007[accn]
Copris tripartitus,Population genetic characterization of the endangered dung beetle Copris tripartitus (Coleoptera: Scarabaeidae) using novel microsatellite markers,"College of Agriculture & Life Sciences, Chonnam Na",Genetic diversity of Important Animal Resources III-2 in Korea,4107.07,Copris_tripartitus_SSR_Korea,WGS,GENOMIC,SRX13540163,https://www.ncbi.nlm.nih.gov/sra/SRX13540163[accn]
Copris tripartitus,Copris tripartitus Transcriptome,Soonchunhyang University,Copris tripartitus Transcriptome,2815.44,Ct-RNA,RNA-Seq,TRANSCRIPTOMIC,SRX6699622,https://www.ncbi.nlm.nih.gov/sra/SRX6699622[accn]
Coprophanaeus cyanescens,SRA of the Coprophanaeus cyanescens,Universidade de Pernambuco,SRA Coprophanaeus beetles,1927.27,Coprophanaeus003,WGS,GENOMIC,SRX33830085,https://www.ncbi.nlm.nih.gov/sra/SRX33830085[accn]
Coprophanaeus dardanus,SRA of the Coprophanaeus dardanus,Universidade de Pernambuco,SRA Coprophanaeus beetles,1934.58,Coprophanaeus002,WGS,GENOMIC,SRX33830084,https://www.ncbi.nlm.nih.gov/sra/SRX33830084[accn]
Coprophanaeus dardanus,CodarSTL61,University of Helsinki,Historical DNA of Dung Beatles (Coleoptera:Scarabaeidae:Scarabaeinae),11.94,S4052,Targeted-Capture,GENOMIC,SRX22207639,https://www.ncbi.nlm.nih.gov/sra/SRX22207639[accn]
Coprophanaeus ensifer,SRA of the Coprophanaeus ensifer,Universidade de Pernambuco,SRA Coprophanaeus beetles,12893.61,Coprophanaeus001,WGS,GENOMIC,SRX33830083,https://www.ncbi.nlm.nih.gov/sra/SRX33830083[accn]
Deltochilum speciosissimum,ddRADseq of Deltochilum speciosissimum: 1950_130,"University of Tennessee, Knoxville",Patterns of gene flow across elevation in Andean scarabs,31.19,1950_130,RAD-Seq,GENOMIC,SRX7816972,https://www.ncbi.nlm.nih.gov/sra/SRX7816972[accn]
Deltochilum speciosissimum,ddRADseq of Deltochilum speciosissimum: 1950_129,"University of Tennessee, Knoxville",Patterns of gene flow across elevation in Andean scarabs,31.84,1950_129,RAD-Seq,GENOMIC,SRX7816971,https://www.ncbi.nlm.nih.gov/sra/SRX7816971[accn]
Deltochilum speciosissimum,ddRADseq of Deltochilum speciosissimum: 1950_128,"University of Tennessee, Knoxville",Patterns of gene flow across elevation in Andean scarabs,28.98,1950_128,RAD-Seq,GENOMIC,SRX7816970,https://www.ncbi.nlm.nih.gov/sra/SRX7816970[accn]
Deltochilum speciosissimum,ddRADseq of Deltochilum speciosissimum: 1950_127,"University of Tennessee, Knoxville",Patterns of gene flow across elevation in Andean scarabs,25.75,1950_127,RAD-Seq,GENOMIC,SRX7816969,https://www.ncbi.nlm.nih.gov/sra/SRX7816969[accn]
Deltochilum speciosissimum,ddRADseq of Deltochilum speciosissimum: 1950_126,"University of Tennessee, Knoxville",Patterns of gene flow across elevation in Andean scarabs,16.9,1950_126,RAD-Seq,GENOMIC,SRX7816968,https://www.ncbi.nlm.nih.gov/sra/SRX7816968[accn]
Deltochilum speciosissimum,ddRADseq of Deltochilum speciosissimum: 1950_125,"University of Tennessee, Knoxville",Patterns of gene flow across elevation in Andean scarabs,29.68,1950_125,RAD-Seq,GENOMIC,SRX7816967,https://www.ncbi.nlm.nih.gov/sra/SRX7816967[accn]
Deltochilum speciosissimum,ddRADseq of Deltochilum speciosissimum: 1950_055,"University of Tennessee, Knoxville",Patterns of gene flow across elevation in Andean scarabs,18.23,1950_055,RAD-Seq,GENOMIC,SRX7816966,https://www.ncbi.nlm.nih.gov/sra/SRX7816966[accn]
Deltochilum speciosissimum,ddRADseq of Deltochilum speciosissimum: 1950_054,"University of Tennessee, Knoxville",Patterns of gene flow across elevation in Andean scarabs,27.55,1950_054,RAD-Seq,GENOMIC,SRX7816965,https://www.ncbi.nlm.nih.gov/sra/SRX7816965[accn]
Deltochilum speciosissimum,ddRADseq of Deltochilum speciosissimum: 1950_053,"University of Tennessee, Knoxville",Patterns of gene flow across elevation in Andean scarabs,24.18,1950_053,RAD-Seq,GENOMIC,SRX7816963,https://www.ncbi.nlm.nih.gov/sra/SRX7816963[accn]
Deltochilum speciosissimum,ddRADseq of Deltochilum speciosissimum: 1950_052,"University of Tennessee, Knoxville",Patterns of gene flow across elevation in Andean scarabs,26.5,1950_052,RAD-Seq,GENOMIC,SRX7816962,https://www.ncbi.nlm.nih.gov/sra/SRX7816962[accn]
Deltochilum speciosissimum,ddRADseq of Deltochilum speciosissimum: 1825_086,"University of Tennessee, Knoxville",Patterns of gene flow across elevation in Andean scarabs,26.91,1825_086,RAD-Seq,GENOMIC,SRX7816941,https://www.ncbi.nlm.nih.gov/sra/SRX7816941[accn]
